visit_id,total_time_diff,client_id,variation
103259230_91726805198_42860,225.0,1235280,Control
103262112_44272205554_17076,175.0,1121613,Control
103280492_35048423642_295880,91.0,1459612,Test
103282678_27042361815_851705,165.0,7458004,Control
103288968_42584086301_52288,186.0,518097,Control
103314992_38940221828_86119,124.0,7338537,Test
103316124_77336417516_450479,622.0,9409347,Test
103334673_42929357722_227220,170.0,5549883,Test
103338906_44331369004_437726,0.0,4790831,Test
103341679_51260451764_941791,0.0,2488210,Test
10334176_51873545023_86086,465.0,5083397,Test
103342398_45398458430_825388,390.0,9545144,Test
103351895_72450757094_488818,175.0,7065902,Test
103375343_29061810051_12489,22.0,4924477,Test
103386244_38229139313_546758,348.0,9204785,Control
103389609_87597000224_651297,164.0,5114008,Control
103390146_17791176841_983341,549.0,6064610,Control
103396645_98084330235_245798,489.0,2480090,Test
103429522_91068110681_512926,154.0,1958941,Test
103429659_37868581419_964988,642.0,5071488,Control
103452266_65589345292_334664,323.0,4428440,Control
103488628_49758919268_823542,224.0,8820590,Test
103509575_90938249713_622091,470.0,2512568,Control
103510306_94152799763_79978,143.0,725801,Control
103514777_61647169544_119343,6.0,4330533,Control
103538296_11904058214_819864,66.0,396003,Test
103547153_48132333098_296164,124.0,9255891,Control
103561765_93272178897_495124,136.0,1108147,Test
103568196_75903429026_290469,67.0,2792044,Test
103587918_85812829742_55398,129.0,4237982,Control
103601194_76355185230_460744,158.0,5503800,Control
103606500_24681696328_451700,187.0,8337843,Test
103609069_67444114796_723567,475.0,3285791,Control
103610734_70849851857_133700,123.0,5802843,Test
103615346_95330399076_836311,0.0,448522,Test
103652701_73650629217_989700,70.0,6455115,Control
103672872_27263820810_450006,241.0,120309,Control
103685128_7533224952_117209,444.0,6888356,Control
103689029_41882753010_215591,45.0,2363091,Test
103690685_99093075856_611613,504.0,8223918,Test
103718181_78133780798_378891,575.0,2050360,Test
103728654_862458844_13886,115.0,5299122,Control
103760599_69968167899_342222,85.0,2165367,Control
103771513_78523843872_7154,45.0,6834658,Control
103797768_89024128068_105778,582.0,6166472,Test
103808018_38026064618_356916,178.0,1350186,Control
10381309_94441024337_943455,203.0,6048205,Test
103828097_2964593896_769569,577.0,7781142,Control
103844930_39480104147_119972,560.0,1295824,Test
103892479_63697822086_835141,0.0,7581565,Test
103925915_87560969444_561630,287.0,2594614,Test
103954141_32721167733_76757,21.0,4036374,Control
103961115_70179628776_519590,543.0,2935833,Control
103962335_25060963174_327284,311.0,7269600,Control
104032435_62114953894_417370,981.0,1646150,Test
10405216_27295232690_129849,482.0,9518630,Test
104052567_51896422006_946275,675.0,5725519,Test
104063878_93190446416_742455,0.0,2429948,Control
104072021_28244059579_597590,44.0,96845,Control
104082777_42499597295_944666,599.0,1101193,Test
104083710_37806604745_590166,119.0,5708846,Test
104083800_60349476282_456725,122.0,7544412,Control
1040920_55307144228_427483,161.0,9288209,Test
104102344_440726316_757498,176.0,6055231,Control
104125938_19215127985_615367,525.0,4951184,Test
104145193_36067138148_118971,1.0,8007865,Control
104169592_44210761083_702489,213.0,9436513,Control
104188701_32251245563_949267,303.0,6622564,Test
104192619_67296701164_160596,23.0,6851822,Test
104222319_64628836240_918404,280.0,6428716,Control
104232935_43235873983_67440,0.0,7745397,Control
104270547_21421209917_971358,226.0,3232335,Control
104290818_41911217263_795489,306.0,1953774,Test
104326589_70843130712_906222,26.0,4846242,Control
104337957_61247003448_631454,360.0,8598372,Test
10434397_57821410111_397397,0.0,714163,Control
104362744_26476684339_478439,144.0,2145707,Control
104365816_69279638422_290118,477.0,333744,Test
104376122_49318033660_691105,14.0,9485851,Control
104384293_44856181492_698912,114.0,7531469,Test
104400883_2375105976_218259,29.0,7459131,Test
104418267_51474889719_962654,247.0,2874925,Test
104438405_2368283624_817211,249.0,836976,Test
104455207_26549011733_252030,42.0,2584387,Test
104475028_24299576645_951674,5.0,7979029,Test
104484209_99971291516_97120,0.0,1760804,Test
104503918_88678867372_299559,142.0,9444621,Test
104510040_4336593208_128989,577.0,7305447,Test
104520844_52262021509_531039,0.0,6690818,Test
